iter	Passed	Remaining
658	913	472
659	914	471
660	915	469
661	916	467
662	917	466
663	918	464
664	919	463
665	920	461
666	922	460
667	923	459
668	924	457
669	925	455
670	926	454
671	927	452
672	928	450
673	929	449
674	930	447
675	931	446
676	932	445
677	933	443
678	934	441
679	935	440
680	936	438
681	937	437
682	938	435
683	940	434
684	941	432
685	941	431
686	943	429
687	943	428
688	944	426
689	945	424
690	946	423
691	947	421
692	948	420
693	949	418
694	950	417
695	951	415
696	952	414
697	953	412
698	954	411
699	955	409
700	957	408
701	958	406
702	959	405
703	960	403
704	961	402
705	962	400
706	963	399
707	964	397
708	967	396
709	968	395
710	968	393
711	969	392
712	970	390
713	971	389
714	972	387
715	973	386
716	974	384
717	975	383
718	976	381
719	977	380
720	978	378
721	979	377
722	980	375
723	981	374
724	982	372
725	983	371
726	984	369
727	985	368
728	986	366
729	987	365
730	988	363
731	988	362
732	989	360
733	990	358
734	991	357
735	992	356
736	993	354
737	994	353
738	995	351
739	996	350
740	997	348
741	998	347
742	998	345
743	999	344
744	1001	342
745	1002	341
746	1003	339
747	1004	338
748	1005	336
749	1006	335
750	1007	333
751	1008	332
752	1009	331
753	1010	329
754	1011	328
755	1012	326
756	1013	325
757	1014	323
758	1015	322
759	1015	320
760	1016	319
761	1017	317
762	1018	316
763	1019	315
764	1020	313
765	1021	312
766	1022	310
767	1023	309
768	1023	307
769	1024	306
770	1025	304
771	1026	303
772	1027	301
773	1028	300
774	1029	298
775	1030	297
776	1030	295
777	1031	294
778	1032	292
779	1033	291
780	1034	289
781	1034	288
782	1036	287
783	1036	285
784	1037	284
785	1038	282
786	1039	281
787	1040	279
788	1041	278
789	1042	276
790	1042	275
791	1043	274
792	1044	272
793	1045	271
794	1046	269
795	1047	268
796	1048	266
797	1048	265
798	1049	264
799	1050	262
800	1051	261
801	1052	259
802	1053	258
803	1054	257
804	1055	255
805	1055	254
806	1056	252
807	1057	251
808	1058	249
809	1059	248
810	1059	247
811	1060	245
812	1062	244
813	1062	242
814	1063	241
815	1064	240
816	1065	238
817	1066	237
818	1067	235
819	1067	234
820	1068	233
821	1069	231
822	1070	230
823	1071	228
824	1072	227
825	1073	226
826	1074	224
827	1074	223
828	1075	221
829	1076	220
830	1077	219
831	1078	217
832	1079	216
833	1080	215
834	1081	213
835	1082	212
836	1083	210
837	1084	209
838	1085	208
839	1085	206
840	1086	205
841	1087	204
842	1088	202
843	1089	201
844	1090	200
845	1091	198
846	1092	197
847	1092	195
848	1093	194
849	1094	193
850	1095	191
851	1096	190
852	1097	189
853	1098	187
854	1099	186
855	1100	185
856	1100	183
857	1101	182
858	1102	180
859	1103	179
860	1104	178
861	1105	176
862	1106	175
863	1107	174
864	1107	172
865	1108	171
866	1109	170
867	1110	168
868	1111	167
869	1112	166
870	1113	164
871	1113	163
872	1115	162
873	1116	160
874	1116	159
875	1117	158
876	1118	156
877	1119	155
878	1120	154
879	1121	152
880	1121	151
881	1122	150
882	1124	148
883	1124	147
884	1125	146
885	1126	144
886	1127	143
887	1128	142
888	1129	140
889	1129	139
890	1130	138
891	1131	136
892	1133	135
893	1134	134
894	1134	133
895	1135	131
896	1136	130
897	1137	129
898	1138	127
899	1139	126
900	1142	125
901	1143	124
902	1144	122
903	1145	121
904	1146	120
905	1147	119
906	1148	117
907	1149	116
908	1150	115
909	1151	113
910	1152	112
911	1153	111
912	1154	109
913	1155	108
914	1155	107
915	1156	106
916	1157	104
917	1158	103
918	1159	102
919	1160	100
920	1161	99
921	1162	98
922	1162	97
923	1163	95
924	1164	94
925	1165	93
926	1166	91
927	1167	90
928	1168	89
929	1169	88
930	1170	86
931	1171	85
932	1172	84
933	1173	82
934	1174	81
935	1175	80
936	1175	79
937	1177	77
938	1178	76
939	1179	75
940	1180	74
941	1181	72
942	1182	71
943	1183	70
944	1184	68
945	1187	67
946	1188	66
947	1189	65
948	1190	63
